,0,1,2,3,4,5
0,1&1 Drillisch AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=DE0005545503&m=1202210&c=5643915,DRI,17/05/2018,Annual,Germany
1,1-Page Limited,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=AU0000001PG3&m=1069739&c=5643915,1PG,29/06/2016,Annual,Australia
2,1-PAGE LIMITED,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=AU0000001PG3&m=1137431&c=5643915,1PG,15/05/2017,Special,Australia
3,1-PAGE LIMITED,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=AU0000001PG3&m=1153034&c=5643915,1PG,26/06/2017,Annual,Australia
4,1-PAGE LIMITED,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=AU0000001PG3&m=1177607&c=5643915,1PG,31/10/2017,Special,Australia
5,1-PAGE LIMITED,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=AU0000001PG3&m=1233989&c=5643915,PGQW.F,30/05/2018,Annual,Australia
6,1-Page Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=AU0000001PG3&m=1259256&c=5643915,1PG,12/09/2018,Special,Australia
7,1st Source Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=336901103&m=862883&c=355082,SRCE,24/04/2014,Annual,USA
8,1st Source Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=336901103&m=953499&c=5646462,SRCE,23/04/2015,Annual,USA
9,1st Source Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=336901103&m=1039150&c=5646452,SRCE,21/04/2016,Annual,USA
10,1st Source Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=336901103&m=1122984&c=5646452,SRCE,20/04/2017,Annual,USA
11,1st Source Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=336901103&m=1209757&c=5646452,SRCE,19/04/2018,Annual,USA
12,2G Energy AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=D8453H103&m=900803&c=355082,2GB,16/07/2014,Annual,Germany
13,2G Energy AG,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=DE000A0HL8N9&m=951609&c=5643915,2GB,08/07/2015,Annual,Germany
14,"2U, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=90214J101&m=1145795&c=5646452,TWOU,05/06/2017,Annual,USA
15,"2U, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=90214J101&m=1235967&c=5646452,TWOU,26/06/2018,Annual,USA
16,3-D Matrix Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=J835A0107&m=818548&c=1216864,7777,25/07/2013,Annual,Japan
17,360 Capital Office Fund,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=Q9034Y124&m=928428&c=1218105,TOF,05/12/2014,Special,Australia
18,361 Degrees International Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=G88493104&m=864719&c=355082,01361,16/05/2014,Annual,Cayman Islands
19,361 Degrees International Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG884931042&m=953664&c=5643915,01361,23/04/2015,Annual,Cayman Islands
20,361 Degrees International Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG884931042&m=1039874&c=5643915,1361,25/04/2016,Annual,Cayman Islands
21,361 Degrees International Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG884931042&m=1125007&c=5643915,1361,26/04/2017,Annual,Cayman Islands
22,361 Degrees International Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG884931042&m=1211427&c=5643915,1361,27/04/2018,Annual,Cayman Islands
23,3D Systems Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88554D205&m=871137&c=355082,DDD,19/05/2014,Annual,USA
24,3D Systems Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88554D205&m=961048&c=5646462,DDD,19/05/2015,Annual,USA
25,3D Systems Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88554D205&m=1130668&c=5646452,DDD,16/05/2017,Annual,USA
26,3D Systems Corporation,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88554D205&m=1218486&c=5646452,DDD,15/05/2018,Annual,USA
27,3i Group plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=G88473148&m=805747&c=355082,III,18/07/2013,Annual,United Kingdom
28,3i Group plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=G88473148&m=900836&c=355082,III,17/07/2014,Annual,United Kingdom
29,3i Group plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00B1YW4409&m=981427&c=5643915,III,25/06/2015,Annual,United Kingdom
30,3i Group plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00B1YW4409&m=1070667&c=5643915,III,30/06/2016,Annual,United Kingdom
31,3i Group plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00B1YW4409&m=1151695&c=5643915,III,29/06/2017,Annual,United Kingdom
32,3i Group plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GB00B1YW4409&m=1244881&c=5643915,III,28/06/2018,Annual,United Kingdom
33,3M Company,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88579Y101&m=867587&c=355082,MMM,13/05/2014,Annual,USA
34,3M Company,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88579Y101&m=956987&c=5646452,MMM,12/05/2015,Annual,USA
35,3M Company,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88579Y101&m=1042828&c=5646462,MMM,10/05/2016,Annual,USA
36,3M Company,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88579Y101&m=1126631&c=5646452,MMM,09/05/2017,Annual,USA
37,3M Company,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=88579Y101&m=1201374&c=5646452,MMM,08/05/2018,Annual,USA
38,3S Korea Co. Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=Y8811G109&m=897218&c=355082,060310,25/06/2014,Annual,South Korea
39,3S Korea Co. Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KR7060310000&m=980948&c=5643915,060310,24/06/2015,Annual,South Korea
40,3S Korea Co. Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KR7060310000&m=1153436&c=5643915,060310,23/06/2017,Annual,South Korea
41,3S Korea Co. Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KR7060310000&m=1240672&c=5643915,A060310,15/06/2018,Annual,South Korea
42,3SBIO Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG8875G1029&m=1060761&c=5643915,1530,28/06/2016,Annual,Cayman Islands
43,3SBIO Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG8875G1029&m=1073728&c=5643915,1530,28/06/2016,Special,Cayman Islands
44,3SBio Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG8875G1029&m=1143908&c=5643915,1530,30/06/2017,Annual,Cayman Islands
45,3SBio Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG8875G1029&m=1182550&c=5643915,1530,09/11/2017,Special,Cayman Islands
46,3SBio Inc.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=KYG8875G1029&m=1241107&c=5643915,1530,20/06/2018,Annual,Cayman Islands
47,"51job, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=316827104&m=1260782&c=5646452,JOBS,09/10/2018,Annual,Cayman Islands
48,7-Eleven Malaysia Holdings Berhad,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=MYL5250OO005&m=981881&c=5643961,SEM,23/06/2015,Annual,Malaysia
49,7-Eleven Malaysia Holdings Berhad,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=MYL5250OO005&m=1060077&c=5643961,SEM,26/05/2016,Annual,Malaysia
50,7-Eleven Malaysia Holdings Berhad,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=MYL5250OO005&m=1144779&c=5643961,SEM,24/05/2017,Annual,Malaysia
51,77 Bank Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=J71348106&m=899752&c=355082,8341,27/06/2014,Annual,Japan
52,77 Bank Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=JP3352000008&m=982085&c=5643915,8341,26/06/2015,Annual,Japan
53,77 Bank Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=JP3352000008&m=1069989&c=5643915,8341,29/06/2016,Annual,Japan
54,77 Bank Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=JP3352000008&m=1155842&c=5643915,8341,29/06/2017,Annual,Japan
55,77 Bank Ltd.,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=JP3352000008&m=1245499&c=5643915,8341,28/06/2018,Annual,Japan
56,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=X19526106&m=867995&c=355082,888,14/05/2014,Annual,United Kingdom
57,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=X19526106&m=876858&c=355082,888,14/05/2014,Special,United Kingdom
58,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GI000A0F6407&m=966744&c=5643915,888,13/05/2015,Annual,United Kingdom
59,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GI000A0F6407&m=1000243&c=5643915,888,29/09/2015,Special,United Kingdom
60,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GI000A0F6407&m=1050951&c=5643915,888,09/05/2016,Annual,Gibraltar
61,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GI000A0F6407&m=1135297&c=5643915,888,09/05/2017,Annual,Gibraltar
62,888 Holdings plc,https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=GI000A0F6407&m=1213818&c=5643915,888,09/05/2018,Annual,Gibraltar
63,"8x8, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=282914100&m=1163802&c=5646452,EGHT,10/08/2017,Annual,USA
64,"8x8, Inc.",https://www.nbim.no//en/responsibility/our-voting-records/meeting/?s=282914100&m=1254426&c=5646452,EGHT,07/08/2018,Annual,USA
