;0;1;2;3;4;5
424;ACI Worldwide, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=004498101&m=1235014&c=5646452;ACIW;12/06/2018;Annual;USA
425;Ackermans & Van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=B01165156&m=835503&c=355082;ACKB;26/05/2014;Annual;Belgium
426;Ackermans & Van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=B01165156&m=922064&c=355082;ACKB;26/11/2014;Special;Belgium
427;Ackermans & Van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=BE0003764785&m=938732&c=5643915;ACKB;26/05/2015;Annual;Belgium
428;Ackermans & Van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=BE0003764785&m=1023656&c=5643915;ACKB;23/05/2016;Annual;Belgium
429;Ackermans & van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=BE0003764785&m=1108679&c=5643915;ACKB;22/05/2017;Annual;Belgium
430;Ackermans & van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=BE0003764785&m=1180041&c=5643915;ACKB;13/11/2017;Special;Belgium
431;Ackermans & van Haaren;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=BE0003764785&m=1224096&c=5643915;ACKB;28/05/2018;Annual;Belgium
432;Aclaris Therapeutics, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00461U105&m=1066956&c=5646452;ACRS;29/06/2016;Annual;USA
433;Acme Laboratories Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=BD0491ACME00&m=1091118&c=5719582;ACMELAB;07/11/2016;Annual;Bangladesh
434;Acom Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=J00105106&m=898772&c=355082;8572;24/06/2014;Annual;Japan
435;Acom Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108600002&m=981118&c=5643915;8572;24/06/2015;Annual;Japan
436;Acom Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108600002&m=1068291&c=5643915;8572;23/06/2016;Annual;Japan
437;Acom Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108600002&m=1153373&c=5643915;8572;22/06/2017;Annual;Japan
438;Acom Co., Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JP3108600002&m=1243206&c=5643915;8572;22/06/2018;Annual;Japan
439;Aconex Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACX1&m=1004177&c=5643915;ACX;22/10/2015;Annual;Australia
440;Aconex Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACX1&m=1091275&c=5643915;ACX;25/10/2016;Annual;Australia
441;Aconex Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACX1&m=1179245&c=5643915;ACX;08/11/2017;Annual;Australia
442;Aconex Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ACX1&m=1200081&c=5643915;ACX;14/03/2018;Court;Australia
443;Acorda Therapeutics, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00484M106&m=882068&c=355082;ACOR;05/06/2014;Annual;USA
444;Acorda Therapeutics, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00484M106&m=974232&c=5646452;ACOR;09/06/2015;Annual;USA
